stem,cv,fam,std,corr,pred_lb,p_beat,valid,rows,dup,nan,prob_scale,vmin,vmax
w36_ad199stdcorr,0.9701400059625016,h3,True,True,0.9712123851051568,0.9997926968234205,True,296302,0,0,True,3.3749350325006245e-06,1.0
w36_ad199std_h3,0.9701354276135699,h3,True,False,0.9711912810041624,0.7909651164977338,True,296302,0,0,True,3.937424204584061e-06,0.9999296888534897
w36_ad199std,0.9701323249566141,ens4,True,False,0.9711992298153559,0.9667152911726782,True,296302,0,0,True,3.374935e-06,0.999946
w34_ad195stdcorr,0.9701247948837451,h3,True,True,0.9711841483283393,0.4562835048643119,True,296302,0,0,True,3.3749350325006245e-06,1.0
w36_ad199std_hybrid,0.9701231283130562,hybrid,True,False,0.9711724525713624,0.052866931296855935,True,296302,0,0,False,-9.381071,13.960903
w36_ad199std_rescale,0.970121937254448,rescale,True,False,0.9712008624991828,0.9795756667803841,True,296302,0,0,False,-8.808782,10.742885
w34_ad195std_h3,0.9701205752646017,h3,True,False,0.9711637101480947,0.0030275657289905444,True,296302,0,0,True,6.187380892917812e-06,0.9999623132254704
w34_ad196std_h3,0.9701199172668695,h3,True,False,0.9711624886873812,0.0018524227313040376,True,296302,0,0,True,5.062402548750937e-06,0.9999634382038146
w34_ad195std_wh3,0.9701196117472624,wh3,True,False,0.971157508642291,0.00019682394048126106,True,296302,0,0,True,5.349412289607525e-06,0.9999632277844872
w34_ad195std_w,0.9701195043323168,w,True,False,0.9711613121920183,0.001129301819096984,True,296302,0,0,True,4.859491669644468e-06,0.9999641697210138
w34_ad196std,0.970118550552755,ens4,True,False,0.9711736599807774,0.07186993342759274,True,296302,0,0,True,4.218669e-06,0.99997216
w34_ad195std,0.9701181648626676,ens4,True,False,0.9711729440128244,0.06005517046186748,True,296302,0,0,True,5.0624026e-06,0.99997133
w27_ad188stdcorr,0.9701168076021643,h3,True,True,0.9711693213005533,0.02162091781062858,True,296302,0,0,True,3.3749350325006245e-06,1.0
w29_ad194stdcorr_ens4,0.9701159502920627,ens4,True,True,0.971181438215733,0.3230449831418315,True,296302,0,0,True,3.3749350325006245e-06,1.0
w29_ad194std_h3,0.9701140063799218,h3,True,False,0.9711515161325607,7.912266149157077e-06,True,296302,0,0,True,5.062402548750937e-06,0.9999578133120938
w27_ad188raw_h3,0.9701136018891743,h3,True,False,0.9711507652643844,5.081127251616024e-06,True,296302,0,0,True,7.312359237084686e-06,0.9999296888534897
w27_ad190std_h3,0.9701133391214054,h3,True,False,0.9711502774807785,3.792428342586085e-06,True,296302,0,0,True,5.062402548750937e-06,0.9999420636152756
w36_ad199std_rankraw,0.9701111921519867,rankraw,True,False,0.9711586463120089,0.0003398579706853644,True,296302,0,0,False,-17.67958,17.805708
w34_ad195std_hybrid,0.9701108333105612,hybrid,True,False,0.9711496289934308,2.5554293878737866e-06,True,296302,0,0,False,-9.399043,13.80934
w34_ad196std_hybrid,0.9701091249775423,hybrid,True,False,0.9711464577641604,3.3643687802342725e-07,True,296302,0,0,False,-9.456413,13.910707
w29_ad194std_hybrid,0.9701056245229753,hybrid,True,False,0.9711399597664871,3.1842104508683633e-09,True,296302,0,0,False,-9.566768,14.13077
w34_ad195std_rescale,0.9701055638940178,rescale,True,False,0.9711704681444088,0.030498968105988844,True,296302,0,0,False,-8.961568,11.038485
w34_ad196std_rescale,0.9701039146473381,rescale,True,False,0.9711674065988631,0.011657953476401861,True,296302,0,0,False,-8.929166,10.93798
w27_ad190std_hybrid,0.9701027988573375,hybrid,True,False,0.9711347143995245,4.49463799512273e-11,True,296302,0,0,False,-9.416854,14.011172
w29_ad194stdcorr_rescale,0.9701012579592934,rescale,True,True,0.9711750800860501,0.10046284075137757,True,296302,0,0,True,3.3749350325006245e-06,1.0
w29_ad194stdcorr_rankraw,0.9701005595540964,rankraw,True,True,0.9711515138810994,7.901872029036916e-06,True,296302,0,0,True,3.3749350325006245e-06,1.0
w27_ad188raw_hybrid,0.9701001699770166,hybrid,True,False,0.9711298343309843,5.70987701564718e-13,True,296302,0,0,False,-9.483947,13.92293
w27_ad188std_hybrid,0.9700993120985821,hybrid,True,False,0.9711282418257927,1.2634338020234281e-13,True,296302,0,0,False,-9.457288,13.919789
w34_ad196std_rankraw,0.9700979782970403,rankraw,True,False,0.9711341170410087,2.6894153570822255e-11,True,296302,0,0,False,-17.573902,17.91033
w34_ad195std_rankraw,0.9700978115521841,rankraw,True,False,0.9711338075075847,2.0563439839804687e-11,True,296302,0,0,False,-17.540241,17.943016
w23_ad187std_hybrid,0.9700977969987988,hybrid,True,False,0.971125429301111,7.993605777301127e-15,True,296302,0,0,False,-9.30737,13.975583
w27_ad188raw_rankraw,0.9700976053842976,rankraw,True,False,0.9711334247920199,1.472433286409114e-11,True,296302,0,0,False,-17.606163,17.97004
w27_ad188std_rescale,0.970096268573635,rescale,True,False,0.9711532129653841,2.0825643351818357e-05,True,296302,0,0,False,-8.960497,11.375361
w27_ad190std_rankraw,0.9700951828849882,rankraw,True,False,0.9711289278346749,2.431388423929093e-13,True,296302,0,0,False,-17.578857,17.96984
w23_ad187std_rescale,0.9700937038591301,rescale,True,False,0.9711484520097522,1.2269274459741908e-06,True,296302,0,0,False,-8.766556,10.890063
w27_ad188std_rankraw,0.9700930486776909,rankraw,True,False,0.9711249660423455,4.9960036108132044e-15,True,296302,0,0,False,-17.575737,17.894249
w29_ad194std_rankraw,0.9700930067276081,rankraw,True,False,0.9711248881691624,4.551914400963142e-15,True,296302,0,0,False,-17.583519,17.92227
w23_ad187std_rankraw,0.97009179122053,rankraw,True,False,0.9711226317873084,4.440892098500626e-16,True,296302,0,0,False,-17.503748,18.05109
w36_ad199std_logit,0.9700571065601007,logit,True,False,0.9711930268281623,0.8496314059963231,True,296302,0,0,False,-8.499824,17.483631
w16m_widegrid,0.9700556662570055,ens4,False,False,0.9710800191046799,0.0,True,296302,0,0,True,3.3749350325006245e-06,1.0
w34_ad196std_logit,0.9700495032230128,logit,True,False,0.9711789125279303,0.216278518915054,True,296302,0,0,False,-8.842282,17.330303
w34_ad195std_logit,0.9700443435657891,logit,True,False,0.9711693345031358,0.021709104752478003,True,296302,0,0,False,-8.837704,17.10297
w27_ad188raw_logit,0.9700387329362935,logit,True,False,0.9711589193251324,0.0003862919395910547,True,296302,0,0,False,-8.416992,16.538527
w27_ad188std_logit,0.9700372515102429,logit,True,False,0.9711561693099998,0.00010080971102732761,True,296302,0,0,False,-8.549672,16.790237
blend160orig_rankraw,0.9700342765404693,rankraw,False,False,0.9710389586881337,0.0,True,296302,0,0,False,-17.729202,17.279102
blend160origm_rankraw,0.9700331270767358,rankraw,False,False,0.9710368249045002,0.0,True,296302,0,0,False,-17.898499,17.204477
blend159_rankraw,0.9700325394457388,rankraw,False,False,0.9710357340676449,0.0,True,296302,0,0,False,-17.803495,16.838274
w14a_repro159av_rankraw,0.9700313094207962,rankraw,False,False,0.9710334507358483,0.0,True,296302,0,0,False,-17.736958,17.22474
blend160origm_hybrid,0.9700273084068993,hybrid,False,False,0.9710176723444461,0.0,True,296302,0,0,False,-8.889688,13.622698
blend153_rankraw,0.9700266911160214,rankraw,False,False,0.9710248776396669,0.0,True,296302,0,0,False,-17.63683,17.663889
w14a_repro159av_hybrid,0.9700258630141787,hybrid,False,False,0.9710149892190532,0.0,True,296302,0,0,False,-9.053155,13.8502
blend160orig_hybrid,0.9700254919891138,hybrid,False,False,0.9710143004742167,0.0,True,296302,0,0,False,-8.963502,13.788176
